TGT,PROMO,COMPETITION,MARKETING_ONLINE,MARKETING_ONLINE_SP,MARKETING_OFFLINE,MARKETING_OFFLINE_SP,OTHER_PRODUCTS,DISTRIBUTION,PRICE,seasonality_holidays,covid_new_cases
1.03 ,1.02 ,1.00 ,1.20 ,1.17 ,0.75 ,1.02 ,1.01 ,1.00 ,1.01 ,1.08 ,0.00 
1.03 ,1.02 ,0.99 ,1.20 ,1.17 ,0.68 ,1.02 ,1.00 ,1.00 ,1.00 ,1.08 ,0.00 
1.03 ,1.03 ,0.99 ,1.13 ,1.16 ,0.71 ,1.02 ,0.94 ,1.01 ,0.99 ,1.08 ,0.00 
1.04 ,1.04 ,1.00 ,1.05 ,0.99 ,1.01 ,1.02 ,1.04 ,1.01 ,1.00 ,1.07 ,0.00 
1.03 ,1.03 ,1.01 ,1.18 ,1.16 ,0.97 ,0.98 ,1.09 ,1.00 ,1.00 ,1.09 ,0.00 
1.03 ,1.03 ,1.00 ,1.15 ,1.10 ,0.92 ,0.98 ,1.08 ,1.01 ,1.01 ,1.09 ,0.00 
1.03 ,1.04 ,1.01 ,0.83 ,0.91 ,0.85 ,0.98 ,1.00 ,1.02 ,1.01 ,1.08 ,0.00 
1.00 ,1.00 ,0.97 ,0.83 ,0.93 ,0.00 ,0.00 ,0.96 ,1.02 ,1.00 ,1.05 ,0.00 
0.99 ,1.00 ,0.99 ,0.84 ,0.94 ,0.00 ,0.00 ,1.00 ,1.02 ,1.02 ,0.94 ,0.00 
1.02 ,1.03 ,1.00 ,0.83 ,0.95 ,0.00 ,0.00 ,1.00 ,1.02 ,1.00 ,0.98 ,0.00 
1.02 ,1.04 ,1.01 ,0.82 ,0.94 ,0.00 ,0.00 ,1.01 ,1.01 ,0.97 ,1.03 ,0.00 
1.02 ,1.04 ,1.00 ,0.83 ,0.95 ,0.00 ,0.00 ,1.04 ,1.02 ,0.96 ,1.05 ,0.00 
1.01 ,1.02 ,0.98 ,0.84 ,0.97 ,0.00 ,0.00 ,1.04 ,1.01 ,0.99 ,1.05 ,0.00 
1.01 ,1.03 ,0.97 ,0.84 ,0.96 ,0.99 ,0.99 ,1.01 ,1.01 ,0.98 ,1.02 ,0.00 
1.01 ,1.01 ,0.96 ,0.83 ,0.96 ,0.70 ,0.99 ,1.01 ,1.01 ,1.01 ,0.98 ,0.00 
1.01 ,1.01 ,1.00 ,0.84 ,0.96 ,0.69 ,0.99 ,1.00 ,1.02 ,1.01 ,0.97 ,0.00 
1.02 ,1.04 ,1.02 ,0.84 ,0.97 ,0.00 ,0.00 ,1.00 ,1.02 ,1.01 ,1.00 ,0.00 
1.02 ,1.02 ,1.02 ,0.84 ,0.97 ,1.15 ,0.98 ,0.99 ,1.02 ,1.00 ,1.01 ,0.00 
1.01 ,1.00 ,1.00 ,0.84 ,0.97 ,0.79 ,0.98 ,1.09 ,1.02 ,1.01 ,0.98 ,0.00 
1.01 ,1.01 ,0.99 ,0.84 ,0.97 ,0.86 ,0.98 ,1.09 ,1.02 ,1.00 ,0.94 ,0.00 
1.00 ,0.99 ,0.99 ,0.83 ,0.96 ,0.00 ,0.00 ,1.00 ,1.01 ,1.00 ,0.80 ,0.00 
1.00 ,0.99 ,0.99 ,0.85 ,0.96 ,1.15 ,1.01 ,1.02 ,1.01 ,1.01 ,0.33 ,0.00 
1.01 ,1.01 ,0.99 ,1.10 ,1.35 ,1.02 ,1.01 ,1.00 ,1.01 ,1.01 ,0.81 ,0.00 
1.01 ,1.00 ,0.99 ,1.12 ,1.16 ,0.85 ,1.01 ,0.96 ,1.01 ,1.01 ,0.84 ,0.00 
1.00 ,1.00 ,0.97 ,1.20 ,1.39 ,0.00 ,0.00 ,0.97 ,1.02 ,0.99 ,0.88 ,0.00 
1.01 ,1.01 ,0.98 ,1.14 ,1.22 ,0.74 ,1.01 ,1.00 ,1.02 ,1.02 ,0.92 ,0.00 
1.00 ,0.99 ,0.98 ,1.13 ,1.22 ,0.75 ,1.01 ,1.00 ,1.02 ,1.01 ,0.86 ,0.00 
1.01 ,1.00 ,1.00 ,1.13 ,1.22 ,0.65 ,1.01 ,0.94 ,1.00 ,1.00 ,0.94 ,0.00 
1.01 ,1.02 ,1.01 ,1.06 ,1.01 ,0.00 ,0.00 ,1.02 ,1.00 ,1.00 ,0.97 ,0.00 
1.02 ,1.02 ,1.01 ,1.20 ,1.41 ,1.01 ,1.01 ,1.02 ,1.00 ,1.00 ,0.97 ,0.00 
1.02 ,1.03 ,0.99 ,1.17 ,1.28 ,0.88 ,1.00 ,0.95 ,1.01 ,0.99 ,0.99 ,0.00 
1.01 ,1.02 ,0.97 ,1.20 ,1.39 ,0.86 ,1.00 ,0.89 ,1.01 ,1.01 ,0.99 ,0.00 
1.00 ,1.00 ,0.98 ,1.11 ,1.15 ,0.00 ,0.00 ,0.89 ,1.01 ,1.00 ,0.99 ,0.00 
1.01 ,1.03 ,1.00 ,1.04 ,1.02 ,0.00 ,0.00 ,1.02 ,1.00 ,0.98 ,1.00 ,0.00 
1.02 ,1.04 ,1.01 ,1.05 ,1.02 ,0.00 ,0.00 ,1.01 ,1.00 ,0.96 ,1.01 ,0.00 
1.01 ,1.03 ,1.01 ,1.04 ,1.02 ,0.00 ,0.00 ,0.88 ,1.01 ,0.97 ,0.99 ,0.00 
1.01 ,1.02 ,0.99 ,1.02 ,1.01 ,0.00 ,0.00 ,1.00 ,1.01 ,0.97 ,1.00 ,0.00 
1.01 ,1.02 ,0.98 ,1.01 ,0.97 ,0.00 ,0.00 ,0.98 ,1.00 ,0.97 ,0.98 ,0.00 
1.01 ,1.02 ,0.98 ,1.03 ,0.95 ,0.00 ,0.00 ,1.00 ,1.01 ,0.97 ,0.98 ,0.00 
1.01 ,1.02 ,1.00 ,1.03 ,0.96 ,0.00 ,0.00 ,0.99 ,1.01 ,1.00 ,0.98 ,0.00 
1.02 ,1.03 ,1.01 ,1.04 ,1.00 ,0.00 ,0.00 ,0.98 ,1.00 ,1.01 ,1.03 ,0.00 
1.02 ,1.05 ,1.00 ,1.04 ,1.00 ,0.00 ,0.00 ,0.92 ,1.01 ,0.99 ,1.06 ,0.00 
1.03 ,1.04 ,0.98 ,1.04 ,1.01 ,0.00 ,0.00 ,0.98 ,1.00 ,0.98 ,1.06 ,0.00 
1.03 ,1.03 ,0.97 ,1.05 ,1.01 ,0.00 ,0.00 ,1.04 ,1.00 ,0.98 ,1.07 ,0.00 
1.02 ,1.03 ,0.99 ,1.04 ,1.01 ,0.00 ,0.00 ,1.04 ,1.00 ,0.98 ,1.06 ,0.00 
1.02 ,1.03 ,1.02 ,1.04 ,1.02 ,0.00 ,0.00 ,1.04 ,1.01 ,0.98 ,1.06 ,0.00 
1.03 ,1.03 ,1.03 ,1.04 ,1.01 ,0.00 ,0.00 ,0.93 ,1.01 ,1.00 ,1.06 ,0.00 
1.03 ,1.03 ,1.04 ,1.05 ,1.02 ,1.48 ,1.03 ,0.93 ,1.01 ,1.01 ,1.06 ,0.00 
1.03 ,1.04 ,1.01 ,1.05 ,1.02 ,1.26 ,1.03 ,1.00 ,1.00 ,1.01 ,1.07 ,0.00 
1.03 ,1.04 ,1.00 ,1.05 ,1.03 ,1.32 ,1.03 ,1.00 ,1.00 ,0.99 ,1.08 ,0.00 
1.03 ,1.05 ,1.00 ,1.04 ,1.02 ,0.88 ,0.88 ,0.99 ,1.00 ,0.98 ,1.08 ,0.00 
1.03 ,1.05 ,1.03 ,1.03 ,1.00 ,1.52 ,1.03 ,0.98 ,1.00 ,0.98 ,1.09 ,0.00 
1.03 ,1.03 ,1.03 ,1.04 ,1.02 ,1.42 ,1.04 ,0.99 ,1.00 ,1.00 ,1.08 ,0.00 
1.02 ,1.02 ,1.02 ,1.05 ,1.01 ,1.29 ,1.04 ,0.99 ,1.00 ,1.01 ,1.08 ,0.00 
1.02 ,1.03 ,1.00 ,1.04 ,1.01 ,0.88 ,0.84 ,1.00 ,1.00 ,1.01 ,1.08 ,0.00 
1.03 ,1.03 ,1.00 ,1.04 ,1.01 ,1.42 ,1.04 ,1.00 ,1.00 ,1.00 ,1.08 ,0.00 
1.03 ,1.04 ,1.00 ,1.13 ,1.20 ,1.32 ,1.00 ,1.00 ,0.99 ,1.00 ,1.09 ,0.00 
1.03 ,1.05 ,1.02 ,1.15 ,1.22 ,1.38 ,1.00 ,1.01 ,0.99 ,0.98 ,1.09 ,0.00 
1.04 ,1.05 ,1.03 ,1.14 ,1.23 ,0.00 ,0.00 ,1.02 ,0.99 ,0.96 ,1.06 ,0.00 
1.01 ,1.03 ,1.01 ,1.16 ,1.27 ,0.00 ,0.00 ,1.00 ,1.00 ,0.99 ,1.00 ,0.00 
0.94 ,0.90 ,0.99 ,1.14 ,1.19 ,0.00 ,0.00 ,0.96 ,1.00 ,0.94 ,1.02 ,0.00 
0.99 ,0.98 ,0.99 ,1.02 ,0.93 ,0.00 ,0.00 ,1.02 ,0.99 ,1.00 ,0.97 ,0.00 
1.00 ,1.00 ,0.99 ,1.03 ,0.93 ,0.00 ,0.00 ,1.08 ,0.99 ,0.95 ,1.02 ,0.00 
1.01 ,1.04 ,1.02 ,1.03 ,0.91 ,0.00 ,0.00 ,1.08 ,0.99 ,0.98 ,1.05 ,0.00 
1.01 ,1.04 ,1.03 ,1.07 ,0.98 ,0.00 ,0.00 ,1.06 ,0.98 ,0.98 ,1.05 ,0.00 
1.02 ,1.04 ,1.03 ,1.06 ,0.97 ,0.94 ,1.01 ,1.02 ,0.99 ,0.96 ,1.03 ,0.00 
1.00 ,1.00 ,1.01 ,1.05 ,0.95 ,0.97 ,1.01 ,1.02 ,0.99 ,0.98 ,0.99 ,0.00 
0.98 ,0.98 ,1.00 ,1.05 ,0.94 ,0.94 ,1.01 ,1.03 ,0.99 ,0.98 ,0.97 ,0.00 
0.98 ,0.97 ,1.01 ,1.03 ,0.92 ,0.00 ,0.00 ,1.06 ,0.99 ,0.97 ,0.99 ,0.00 
0.99 ,0.99 ,1.02 ,1.08 ,1.00 ,0.00 ,0.00 ,1.07 ,0.99 ,0.98 ,1.01 ,0.00 
0.99 ,0.99 ,1.01 ,1.08 ,0.99 ,0.00 ,0.00 ,1.07 ,0.99 ,0.99 ,1.00 ,0.00 
0.98 ,0.98 ,1.00 ,1.05 ,0.92 ,0.00 ,0.00 ,1.06 ,0.99 ,1.01 ,0.92 ,0.00 
0.94 ,0.93 ,0.95 ,1.02 ,0.94 ,0.00 ,0.00 ,0.91 ,0.99 ,1.03 ,0.83 ,0.00 
0.94 ,0.91 ,0.95 ,1.01 ,0.95 ,0.00 ,0.00 ,0.91 ,0.99 ,1.05 ,0.00 ,0.00 
0.94 ,0.90 ,0.96 ,1.00 ,0.92 ,0.00 ,0.00 ,0.89 ,0.99 ,1.05 ,0.00 ,0.00 
0.95 ,0.93 ,0.99 ,1.00 ,0.92 ,0.00 ,0.00 ,0.90 ,0.99 ,1.01 ,0.82 ,0.92 
0.95 ,0.91 ,0.99 ,0.99 ,0.87 ,0.00 ,0.00 ,0.87 ,0.99 ,0.98 ,0.92 ,1.03 
0.96 ,0.93 ,1.00 ,1.00 ,0.90 ,0.00 ,0.00 ,0.87 ,0.98 ,0.98 ,0.92 ,1.02 
0.95 ,0.94 ,0.97 ,0.99 ,0.90 ,0.00 ,0.00 ,0.86 ,0.98 ,1.01 ,0.86 ,0.99 
0.96 ,0.95 ,0.97 ,0.98 ,0.91 ,0.00 ,0.00 ,0.85 ,0.99 ,1.03 ,0.93 ,0.95 
0.96 ,0.95 ,0.98 ,0.99 ,0.92 ,0.00 ,0.00 ,0.86 ,0.98 ,1.04 ,0.97 ,0.93 
0.96 ,0.96 ,1.00 ,0.97 ,0.91 ,0.00 ,0.00 ,0.87 ,0.99 ,1.02 ,0.97 ,0.89 
0.97 ,0.97 ,1.02 ,0.80 ,0.88 ,0.00 ,0.00 ,1.00 ,1.00 ,1.01 ,1.00 ,0.87 
0.98 ,0.97 ,1.02 ,0.84 ,0.88 ,0.00 ,0.00 ,1.09 ,1.00 ,1.00 ,0.99 ,0.85 
0.97 ,0.96 ,1.00 ,0.85 ,0.87 ,0.00 ,0.00 ,1.09 ,0.99 ,1.00 ,0.99 ,0.83 
0.96 ,0.94 ,0.98 ,0.78 ,0.85 ,0.00 ,0.00 ,1.07 ,0.99 ,1.00 ,0.99 ,0.81 
0.98 ,0.96 ,0.99 ,0.89 ,0.90 ,0.00 ,0.00 ,1.07 ,0.99 ,1.01 ,1.00 ,1.19 
0.97 ,0.97 ,1.01 ,0.87 ,0.91 ,0.00 ,0.00 ,0.97 ,0.98 ,1.04 ,0.99 ,0.89 
0.97 ,0.96 ,1.01 ,0.88 ,0.90 ,0.00 ,0.00 ,0.99 ,0.99 ,1.03 ,1.00 ,0.91 
0.97 ,0.96 ,1.01 ,0.83 ,0.90 ,0.00 ,0.00 ,0.98 ,0.99 ,1.03 ,0.99 ,0.90 
0.97 ,0.96 ,1.00 ,0.85 ,0.87 ,0.00 ,0.00 ,0.98 ,0.98 ,1.03 ,0.98 ,0.92 
0.96 ,0.94 ,0.99 ,0.93 ,0.89 ,0.00 ,0.00 ,0.97 ,0.98 ,1.02 ,0.97 ,0.93 
0.97 ,0.95 ,0.99 ,0.96 ,0.91 ,0.00 ,0.00 ,1.13 ,0.98 ,0.98 ,1.03 ,0.95 
0.98 ,0.97 ,1.02 ,0.96 ,0.88 ,0.00 ,0.00 ,1.15 ,0.98 ,0.98 ,1.05 ,0.94 
0.99 ,0.98 ,1.03 ,0.95 ,0.87 ,0.00 ,0.00 ,1.14 ,0.99 ,1.02 ,1.07 ,0.96 
0.99 ,0.99 ,1.03 ,0.95 ,0.88 ,0.00 ,0.00 ,1.14 ,0.99 ,1.04 ,1.06 ,1.00 
0.98 ,0.97 ,1.03 ,0.94 ,0.87 ,0.00 ,0.00 ,0.99 ,0.99 ,1.04 ,1.06 ,1.05 
0.98 ,0.96 ,1.01 ,0.92 ,0.85 ,0.00 ,0.00 ,0.91 ,0.98 ,1.02 ,1.06 ,1.07 
0.98 ,0.96 ,1.01 ,0.91 ,0.83 ,0.00 ,0.00 ,1.01 ,0.99 ,1.03 ,1.06 ,1.12 
0.98 ,0.97 ,1.01 ,0.97 ,0.89 ,0.00 ,0.00 ,1.05 ,0.99 ,1.04 ,1.06 ,1.17 
0.99 ,0.98 ,1.01 ,0.96 ,0.86 ,0.00 ,0.00 ,1.06 ,0.99 ,1.03 ,1.07 ,1.20 
0.99 ,0.98 ,1.00 ,1.05 ,0.96 ,0.00 ,0.00 ,1.07 ,1.00 ,1.02 ,1.08 ,1.22 
0.99 ,1.00 ,1.00 ,1.00 ,0.91 ,0.00 ,0.00 ,1.03 ,1.00 ,1.01 ,1.08 ,1.24 
1.00 ,1.02 ,1.02 ,0.98 ,0.87 ,0.00 ,0.00 ,1.00 ,1.00 ,1.01 ,1.09 ,1.24 