MARKETING_ONLINE_SP,MARKETING_OFFLINE_SP
7.36 ,643.22 
7.34 ,643.22 
7.12 ,643.22 
1.87 ,643.22 
6.93 ,453.15 
4.57 ,453.15 
1.03 ,453.15 
1.21 ,0.00 
1.35 ,0.00 
1.40 ,0.00 
1.33 ,0.00 
1.42 ,0.00 
1.59 ,0.00 
1.52 ,469.27 
1.51 ,469.27 
1.55 ,469.27 
1.61 ,0.00 
1.64 ,454.20 
1.65 ,454.20 
1.64 ,454.20 
1.50 ,0.00 
1.49 ,586.21 
30.02 ,586.21 
6.91 ,586.21 
39.78 ,0.00 
11.27 ,586.21 
10.93 ,622.88 
11.46 ,622.88 
2.22 ,0.00 
45.70 ,622.88 
17.23 ,511.18 
41.64 ,511.18 
6.33 ,0.00 
2.32 ,0.00 
2.36 ,0.00 
2.41 ,0.00 
2.26 ,0.00 
1.58 ,0.00 
1.44 ,0.00 
1.51 ,0.00 
2.08 ,0.00 
2.08 ,0.00 
2.17 ,0.00 
2.31 ,0.00 
2.27 ,0.00 
2.32 ,0.00 
2.16 ,0.00 
2.32 ,737.92 
2.46 ,737.92 
2.51 ,737.92 
2.37 ,149.55 
2.07 ,737.92 
2.37 ,836.55 
2.27 ,836.55 
2.15 ,89.61 
2.18 ,836.55 
9.85 ,560.31 
11.20 ,560.31 
12.06 ,0.00 
16.21 ,0.00 
8.72 ,0.00 
1.20 ,0.00 
1.18 ,0.00 
1.02 ,0.00 
1.72 ,0.00 
1.65 ,634.14 
1.46 ,634.14 
1.29 ,634.14 
1.10 ,0.00 
2.00 ,0.00 
1.91 ,0.00 
1.11 ,0.00 
1.33 ,0.00 
1.44 ,0.00 
1.11 ,0.00 
1.08 ,0.00 
0.76 ,0.00 
0.96 ,0.00 
0.97 ,0.00 
1.01 ,0.00 
1.10 ,0.00 
1.02 ,0.00 
0.81 ,0.00 
0.80 ,0.00 
0.79 ,0.00 
0.64 ,0.00 
0.96 ,0.00 
1.00 ,0.00 
0.96 ,0.00 
0.93 ,0.00 
0.79 ,0.00 
0.92 ,0.00 
1.04 ,0.00 
0.82 ,0.00 
0.76 ,0.00 
0.84 ,0.00 
0.78 ,0.00 
0.65 ,0.00 
0.57 ,0.00 
0.90 ,0.00 
0.70 ,0.00 
1.50 ,0.00 
1.01 ,0.00 
0.77 ,0.00 